Time, WaitQueueSize, AverageServiceTime, WorkingThreadCount, TotalThreadCount
10:44:26, 0, 0.100000, 0, 3
10:44:29, 0, 0.100000, 0, 3
10:44:32, 0, 0.100000, 0, 3
10:44:35, 0, 0.100000, 0, 3
10:44:38, 0, 0.100000, 0, 3
10:44:41, 0, 0.100000, 0, 3
10:44:44, 0, 0.100000, 0, 3
10:44:47, 0, 0.100000, 0, 3
10:44:50, 0, 0.100000, 0, 3
10:44:53, 0, 0.100000, 0, 3
10:44:56, 0, 0.100000, 0, 3
10:44:59, 0, 0.100000, 0, 3
10:45:2, 0, 0.100000, 0, 3
10:45:5, 0, 0.100000, 0, 3
10:45:8, 0, 0.100000, 0, 3
10:45:11, 0, 0.100000, 0, 3
10:45:14, 0, 0.100000, 0, 3
10:45:17, 0, 0.100000, 0, 3
10:45:20, 0, 0.100000, 0, 3
10:45:23, 0, 0.100000, 0, 3
10:45:26, 0, 0.100000, 0, 3
10:45:29, 0, 0.100000, 0, 3
10:45:32, 0, 0.100000, 0, 3
10:45:35, 0, 0.100000, 0, 3
10:45:38, 0, 0.100000, 0, 3
10:45:41, 0, 0.100000, 0, 3
10:45:44, 0, 0.100000, 0, 3
10:45:47, 0, 0.100000, 0, 3
10:45:50, 0, 0.100000, 0, 3
10:45:53, 0, 0.100000, 0, 3
10:45:56, 0, 0.100000, 0, 3
10:45:59, 0, 0.100000, 0, 3
10:46:2, 0, 0.100000, 0, 3
10:46:5, 0, 0.100000, 0, 3
10:46:8, 0, 0.100000, 0, 3
10:46:11, 0, 0.100000, 0, 3
10:46:14, 0, 0.100000, 0, 3
10:46:17, 0, 0.100000, 0, 3
10:46:20, 0, 0.100000, 0, 3
10:46:23, 0, 0.100000, 0, 3
10:46:26, 0, 0.100000, 0, 3
10:46:29, 0, 0.100000, 0, 3
10:46:32, 0, 0.100000, 0, 3
10:46:35, 0, 0.100000, 0, 3
10:46:38, 0, 0.100000, 0, 3
10:46:41, 0, 0.100000, 0, 3
10:46:44, 0, 0.100000, 0, 3
10:46:47, 0, 0.100000, 0, 3
10:46:50, 0, 0.100000, 0, 3
10:46:53, 0, 0.100000, 0, 3
10:46:56, 0, 0.100000, 0, 3
10:46:59, 0, 0.100000, 0, 3
10:47:2, 0, 0.100000, 0, 3
10:47:5, 0, 0.100000, 0, 3
10:47:8, 0, 0.100000, 0, 3
10:47:11, 0, 0.100000, 0, 3
10:47:14, 0, 0.100000, 0, 3
10:47:18, 0, 0.100000, 0, 3
10:47:20, 0, 0.100000, 0, 3
10:47:23, 0, 0.100000, 0, 3
10:47:26, 0, 0.100000, 0, 3
10:47:29, 0, 0.100000, 0, 3
10:47:32, 0, 0.100000, 0, 3
10:47:35, 0, 0.100000, 0, 3
10:47:38, 0, 0.100000, 0, 3
10:47:41, 0, 0.100000, 0, 3
10:47:44, 0, 0.100000, 0, 3
10:47:47, 0, 0.100000, 0, 3
10:47:50, 0, 0.100000, 0, 3
10:47:53, 0, 0.100000, 0, 3
10:47:56, 0, 0.100000, 0, 3
10:47:59, 0, 0.100000, 0, 3
10:48:2, 0, 0.100000, 0, 3
10:48:6, 0, 0.100000, 0, 3
10:48:9, 0, 0.100000, 0, 3
10:48:12, 0, 0.100000, 0, 3
10:48:15, 0, 0.100000, 0, 3
10:48:18, 0, 0.100000, 0, 3
10:48:21, 0, 0.100000, 0, 3
10:48:24, 0, 0.100000, 0, 3
10:48:27, 0, 0.100000, 0, 3
10:48:30, 0, 0.100000, 0, 3
10:48:33, 0, 0.100000, 0, 3
10:48:36, 0, 0.100000, 0, 3
10:48:39, 0, 0.100000, 0, 3
10:48:42, 0, 0.100000, 0, 3
10:48:45, 0, 0.100000, 0, 3
10:48:48, 0, 0.100000, 0, 3
10:48:51, 0, 0.100000, 0, 3
10:48:54, 0, 0.100000, 0, 3
10:48:57, 0, 0.100000, 0, 3
10:49:0, 0, 0.100000, 0, 3
10:49:3, 0, 0.100000, 0, 3
10:49:6, 0, 0.100000, 0, 3
10:49:9, 0, 0.100000, 0, 3
10:49:12, 0, 0.100000, 0, 3
10:49:15, 0, 0.100000, 0, 3
10:49:18, 0, 0.100000, 0, 3
10:49:21, 0, 0.100000, 0, 3
10:49:24, 0, 0.100000, 0, 3
10:49:27, 0, 0.100000, 0, 3
10:49:30, 0, 0.100000, 0, 3
10:49:33, 0, 0.100000, 0, 3
10:49:36, 0, 0.100000, 0, 3
10:49:39, 0, 0.100000, 0, 3
10:49:42, 0, 0.100000, 0, 3
10:49:45, 0, 0.100000, 0, 3
10:49:48, 0, 0.100000, 0, 3
10:49:51, 0, 0.100000, 0, 3
10:49:54, 0, 0.100000, 0, 3
10:49:57, 0, 0.100000, 0, 3
10:50:0, 0, 0.100000, 0, 3
10:50:3, 0, 0.100000, 0, 3
10:50:6, 0, 0.100000, 0, 3
10:50:9, 0, 0.100000, 0, 3
10:50:12, 0, 0.100000, 0, 3
10:50:15, 0, 0.100000, 0, 3
10:50:18, 0, 0.100000, 0, 3
10:50:21, 0, 0.100000, 0, 3
10:50:24, 0, 0.100000, 0, 3
10:50:27, 0, 0.100000, 0, 3
10:50:30, 0, 0.100000, 0, 3
10:50:33, 0, 0.100000, 0, 3
10:50:36, 0, 0.100000, 0, 3
10:50:39, 0, 0.100000, 0, 3
